timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713189884794,161,planificación_(unidad_desde_cero)/complete/search-627,200,OK,Asistencia_mensual 1-1,text,true,,2051,312,1,1,https://www.google.com/complete/search?client=firefox&q=ro&channel=fen,161,0,103
1713189884957,61,planificación_(unidad_desde_cero)/complete/search-628,200,OK,Asistencia_mensual 1-1,text,true,,1870,313,1,1,https://www.google.com/complete/search?client=firefox&q=rom&channel=fen,61,0,0
1713189885039,57,planificación_(unidad_desde_cero)/complete/search-629,200,OK,Asistencia_mensual 1-1,text,true,,1891,314,1,1,https://www.google.com/complete/search?client=firefox&q=roma&channel=fen,57,0,0
1713189885098,1268,planificación_(unidad_desde_cero)/-630,200,OK,Asistencia_mensual 1-1,text,true,,7848,1466,1,1,https://sso.lirmi.dev/login,541,0,367
1713189885098,542,planificación_(unidad_desde_cero)/-630-0,302,Found,Asistencia_mensual 1-1,text,true,,2041,471,1,1,https://roma.lirmi.dev/,541,0,367
1713189885642,550,planificación_(unidad_desde_cero)/-630-1,302,Found,Asistencia_mensual 1-1,text,true,,1816,520,1,1,https://sso.lirmi.dev/session?redirect=https://roma.lirmi.dev/auth/login,550,0,378
1713189886192,174,planificación_(unidad_desde_cero)/-630-2,200,OK,Asistencia_mensual 1-1,text,true,,3991,475,1,1,https://sso.lirmi.dev/login,173,0,0
1713189886367,71,planificación_(unidad_desde_cero)/roma/img/modulos-planificacion.svg-633,200,OK,Asistencia_mensual 1-1,text,true,,8559,433,1,1,https://assets.lirmi.com/roma/img/modulos-planificacion.svg,71,0,61
1713189886439,219,planificación_(unidad_desde_cero)/3053485.js-632,200,OK,Asistencia_mensual 1-1,text,true,,1557,389,1,1,https://js.hs-scripts.com/3053485.js,219,0,34
1713189886660,91,planificación_(unidad_desde_cero)/leadflows.js-635,200,OK,Asistencia_mensual 1-1,text,true,,90419,421,1,1,https://js.hsleadflows.net/leadflows.js,84,0,32
1713189886752,575,planificación_(unidad_desde_cero)/api/v1/notificaciones-634,200,OK,Asistencia_mensual 1-1,text,true,,389,494,1,1,https://chucao.lirmi.dev/api/v1/notificaciones?limit=6,574,0,358
